id,name,category,district,lat,lon
traderjacks,"Trader Jack's",drink,"Avarua harbour",-21.2062,-159.7748
punanganui,"Punanga Nui Market",culture,"Avarua waterfront",-21.2051,-159.7825
cicc,"Avarua CICC Sunday Himene",culture,"Avarua",-21.2064,-159.7752
tamarind,"Tamarind House",eat,"Between Avarua and Matavera",-21.2036,-159.7625
palace,"Palace Takeaways",eat,"Avarua",-21.2058,-159.7762
museum,"Cook Islands Library & Museum",culture,"Avarua",-21.2079,-159.7726
licence,"Scooter Licence at the Police Station",knowhow,"Avarua",-21.2062,-159.7748
bus,"The Clockwise Bus",knowhow,"Circles the whole island",-21.2052,-159.7786
rarosafari,"Raro Safari 4WD Tour",adventure,"Departs Avarua",-21.2060,-159.7796
airport,"Rarotonga International",knowhow,"Nikao",-21.2027,-159.7942
blackrock,"Black Rock (Tuoro)",swim,"Nikao / Tuoro",-21.2083,-159.8238
highland,"Highland Paradise",culture,"Above Arorangi",-21.2405,-159.8180
waterline,"The Waterline",eat,"Arorangi",-21.2281,-159.8292
rickshaw,"Rickshaw",eat,"Arorangi",-21.2365,-159.8272
kikau,"Kikau Hut",eat,"Arorangi",-21.2125,-159.8257
albertos,"Alberto's Steakhouse",eat,"Arorangi",-21.2287,-159.8287
storytellers,"Storytellers Eco Cycle Tour",adventure,"Arorangi",-21.2410,-159.8265
diveraro,"Dive Rarotonga",swim,"Arorangi",-21.2273,-159.8293
islandnight,"Island Night Buffet & Fire Dance",culture,"Arorangi resorts",-21.2295,-159.8265
raemaru,"Raemaru Summit",adventure,"Behind Arorangi",-21.2364,-159.8100
aroa,"Aroa Marine Reserve",swim,"Aroa / Rutaki",-21.2549,-159.8193
wilsons,"Wilson's Beach Bar",drink,"Aroa",-21.2520,-159.8211
whales,"Humpback Whale Watching",adventure,"Outside the reef",-21.2450,-159.8420
wigmores,"Wigmore's Waterfall (Papua)",adventure,"Inland from Vaimaanga",-21.2600,-159.7770
crossisland,"Cross-Island Track & The Needle",adventure,"Straight through the middle",-21.2410,-159.7815
mairenui,"Maire Nui Botanical Gardens",culture,"Titikaveka",-21.2704,-159.7503
charlies,"Charlie's Café",eat,"Titikaveka",-21.2724,-159.7535
fruits,"Fruits of Rarotonga Snorkel",swim,"Titikaveka / Ngatangiia",-21.2707,-159.7436
vaima,"Vaima Restaurant",eat,"Titikaveka",-21.2637,-159.7935
shipwreck,"Shipwreck Hut",drink,"Aroa / Rutaki",-21.2464,-159.8241
matutu,"Matutu Brewery Taproom",drink,"Titikaveka",-21.2688,-159.7657
nustall,"Roadside Nu Stall",eat,"South coast roadside",-21.2657,-159.7799
murimarket,"Muri Night Market",eat,"Muri Beach",-21.2572,-159.7324
tevaranui,"Te Vara Nui Over-Water Show",culture,"Muri",-21.2546,-159.7310
sails,"Sails Restaurant",eat,"Muri Beach",-21.2575,-159.7313
lbv,"LBV Bakery",eat,"Muri",-21.2582,-159.7332
tapabar,"Nautilus Tapa Bar",drink,"Muri",-21.2648,-159.7380
murilagoon,"Muri Lagoon & the Four Motu",swim,"Muri Beach",-21.2560,-159.7274
lagooncruise,"Glass-Bottom Lagoon Cruise",swim,"Departs Muri",-21.2571,-159.7312
kitesurf,"Muri Kitesurfing",adventure,"Muri lagoon",-21.2695,-159.7345
avana,"Avana Passage & the Vaka Departure",culture,"Ngatangiia",-21.2470,-159.7330
mooring,"The Mooring Fish Café",eat,"Avana, Ngatangiia",-21.2478,-159.7345
maraearai,"Marae Arai-te-Tonga",culture,"Tupapa / Matavera",-21.2115,-159.7615
matavera,"Matavera Coral Church",culture,"Matavera",-21.2234,-159.7329
temanga,"Te Manga Summit",adventure,"Interior, north-east",-21.2300,-159.7608
arametua,"Ara Metua Ride",adventure,"Inland ring road",-21.2160,-159.7920
sheraton,"The Sheraton Ruins",adventure,"Vaimaanga",-21.2649,-159.7878
aitutaki,"Aitutaki Day Trip",adventure,"45 minutes north by air",-21.1990,-159.7950
fishingclub,"Game Fishing Club",drink,"Avarua waterfront",-21.2039,-159.7776
avatiu,"Avatiu Harbour",knowhow,"West of Avarua",-21.2036,-159.7842
golf,"Rarotonga Golf Club",adventure,"Nikao",-21.2078,-159.8090
whalecentre,"Whale & Wildlife Centre",culture,"Arorangi",-21.2357,-159.8274
fridaynight,"Avarua Friday Night",drink,"Avarua town",-21.2060,-159.7770
selfcater,"Supermarkets & Self-Catering",knowhow,"Avarua, plus Wigmore's in the south",-21.2066,-159.7792
money,"Money & the Triangle Coin",knowhow,"Avarua banks",-21.2058,-159.7782
reefkit,"Reef Shoes & What Not to Wear",knowhow,"Everywhere with water",-21.2656,-159.7356
takitumu,"Takitumu Conservation Area",adventure,"South-east valleys",-21.2610,-159.7500
titikavekacicc,"Titikaveka Coral Church",culture,"Titikaveka",-21.2716,-159.7608
nikaobeach,"Nikao Beach & the Runway Sunset",swim,"Nikao",-21.2050,-159.8000
saturdaysport,"Saturday Rugby & Netball",culture,"Avarua fields",-21.2065,-159.8010
honesty,"Roadside Honesty Boxes",knowhow,"All the way round",-21.2718,-159.7492
otb,"On The Beach",eat,"Manuia, Arorangi",-21.2246,-159.8301
koka,"Koka Lagoon Cruises",swim,"Departs Muri",-21.2631,-159.7345
airraro,"Air Rarotonga",knowhow,"Airport, Nikao",-21.2030,-159.7950
pastrek,"Pa's Cross-Island Trek",adventure,"Across the middle",-21.2220,-159.7800
progressive,"Progressive Dinner",eat,"Three island homes",-21.2100,-159.7800
gamefish,"Game Fishing Charter",adventure,"Outside the reef",-21.1950,-159.7760
adventuredive,"Adventure Cook Islands",swim,"Arorangi",-21.2335,-159.8270
hospital,"Hospital & Emergencies",knowhow,"Rarotonga Hospital, Nikao",-21.2120,-159.8200
stay-arorangi,"Arorangi & the West",stay,"Arorangi",-21.2330,-159.8262
stay-titikaveka,"Titikaveka & the South",stay,"Titikaveka",-21.2713,-159.7616
